-229, -103, 70
-229, -103, 70
-256, -24, -34
-468, -166, -140
-335, 68, 104
-107, 252, 222
-59, 142, 140
-206, -164, 200
-206, -164, 200
-390, -530, 466
-307, -792, 572
-259, -1272, 623
-49, -1584, 699
346, -1508, 814
239, -1638, 1051
-8, -1913, 1181
-156, -1998, 1286
-120, -1998, 1299
-330, -1998, 1381
-1049, -1998, 1383
-1590, -1998, 1276
-1577, -1998, 1292
-1017, -1649, 1011
-589, -1147, 486
-292, -723, 326
79, -281, 241
733, 448, 452
1327, 904, 106
720, 134, 154
720, 134, 154
862, 417, 616
1106, 540, 454
-,-,-
-289, -272, -110
-334, -268, -201
-353, -208, -11
-353, -208, -11
-366, -134, 176
-258, 5, 152
-338, -66, 140
-434, -193, 309
-129, 4, 465
-36, -174, 440
-36, -174, 440
-97, -618, 381
-138, -1153, 480
-81, -1584, 646
-87, -1967, 875
-94, -1998, 1247
-26, -1998, 1487
-30, -1998, 1484
-340, -1998, 1400
-1005, -1998, 1518
-1474, -1998, 1855
-1519, -1998, 1540
-1332, -1916, 764
-816, -1230, 355
-341, -556, 184
-13, -119, 737
901, 677, 546
1621, 1084, 230
1621, 1084, 230
1786, 1101, 234
1477, 811, 492
1120, 554, 461
-,-,-
-426, -317, 152
-414, -220, 65
-414, -220, 65
-462, -306, 4
-287, -54, 70
-195, 74, 174
-164, 78, 241
-145, 71, 193
-145, 71, 193
-60, 26, 84
-6, -57, 138
178, -289, 120
178, -289, 120
2, -850, 295
-347, -1511, 744
-412, -1976, 978
-170, -1998, 1310
61, -1998, 1541
-201, -1998, 1937
-479, -1998, 1993
-862, -1998, 1841
-1352, -1998, 1626
-1594, -1998, 1359
-1407, -1876, 808
-1009, -1353, 33
-994, -1182, -53
-415, -421, 582
718, 637, 898
1160, 820, 596
1199, 735, 500
1199, 735, 500
1435, 918, 851
1359, 831, 948
963, 476, 912
-,-,-
-423, -154, 62
-396, -50, 43
-424, -131, 5
-424, -131, 5
-335, -46, 78
-132, 138, 198
-103, 80, 224
-207, -264, 256
-108, -522, 162
80, -771, 310
80, -771, 310
136, -1239, 426
114, -1673, 682
53, -1929, 1021
143, -1901, 1326
14, -1945, 1479
-363, -1998, 1382
-781, -1998, 1293
-1003, -1998, 1516
-1118, -1998, 1418
-1068, -1998, 1033
-1093, -1948, 760
-1224, -1786, 798
-1034, -1305, 946
-263, -466, 846
87, -92, 587
487, 342, 343
1034, 756, 354
1034, 756, 354
1199, 871, 273
1083, 717, 329
1054, 675, 700
-,-,-
-447, -157, 219
-431, -85, 108
-412, -3, 177
-424, 55, 236
-424, 55, 236
-353, 82, 272
-295, 69, 240
-259, 22, 345
-187, -173, 257
-42, -425, 267
-42, -425, 267
165, -661, 213
147, -1165, 340
181, -1606, 448
272, -1750, 725
261, -1756, 1150
79, -1958, 1348
-251, -1998, 1444
-473, -1998, 1508
-526, -1998, 1682
-861, -1998, 1495
-1278, -1998, 1344
-1553, -1998, 1061
-1306, -1835, 848
-891, -1214, 630
-586, -857, 484
-180, -358, 665
488, 343, 616
1016, 810, 491
1016, 810, 491
1053, 714, 337
1151, 757, 458
-,-,-
-403, -117, 95
-378, 4, 68
-524, -105, 15
-524, -105, 15
-499, -42, 87
-219, 174, 241
-23, 275, 141
-62, 72, 52
-178, -441, 13
-178, -441, 13
7, -717, 59
152, -938, 360
139, -1384, 543
-55, -1896, 958
-226, -1998, 1334
-227, -1998, 1610
-215, -1998, 1607
-438, -1998, 1653
-741, -1998, 1564
-937, -1998, 1728
-1146, -1998, 1527
-1108, -1987, 1050
-815, -1576, 640
-607, -1186, 548
-308, -749, 628
-99, -527, 527
691, 319, 414
691, 319, 414
985, 531, 327
785, 344, 377
859, 437, 383
1139, 672, 502
1139, 672, 502
1065, 634, 457
806, 366, 296
569, 146, 250
-,-,-
-354, -158, 212
-283, -94, 97
-283, -94, 97
-368, -199, 10
-297, -44, 128
-52, 245, 228
36, 339, 279
36, 339, 279
-189, 15, 204
-134, -82, 108
86, 33, 156
-42, -428, 341
-42, -428, 341
-260, -1240, 527
-337, -1891, 657
-274, -1998, 1246
-641, -1998, 1723
-1321, -1998, 1707
-1753, -1998, 1826
-1480, -1998, 1844
-793, -1932, 1515
-547, -1646, 1048
-580, -1452, 641
-641, -1258, 910
-127, -485, 863
486, 156, 275
891, 477, -30
715, 378, 211
1006, 709, 745
1457, 1013, 778
1279, 770, 705
1279, 770, 705
930, 393, 484
630, 176, 676
358, -97, 612
430, -272, 374
-,-,-
-294, -91, 263
-180, 29, 111
-336, -51, 77
-336, -51, 77
-247, 134, -19
-158, 266, 116
-135, 238, 118
-214, 134, 59
-437, -306, 50
-437, -306, 50
-412, -664, 159
-124, -924, 395
349, -1004, 701
224, -1524, 1136
-362, -1989, 1676
-785, -1998, 1998
-991, -1998, 1998
-1238, -1998, 1998
-1520, -1998, 1852
-1398, -1998, 1674
-998, -1732, 1316
-877, -1396, 670
-864, -1167, 713
-298, -428, 611
438, 282, 389
721, 456, 145
876, 557, 299
949, 602, 616
949, 602, 616
1117, 785, 752
-,-,-
-374, -204, 21
-245, 21, 146
-260, -5, -10
-276, 35, -12
-219, 151, 24
-219, 151, 24
-115, 263, 127
-204, 91, 176
-145, -119, 173
174, -225, 42
