-1998, 1997, 1998
-1998, 1801, 1998
-1998, 530, 1977
-1998, 164, 1503
-,-,-
582, 375, -309
1712, 818, -844
1997, 294, -1279
1997, -1146, -1996
1997, -1717, -1997
1997, 834, -1988
14, 1997, -1660
-1998, 1997, 1350
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1536, 610, -1025
1997, 33, -1694
1997, -1408, -1997
1997, -1375, -1997
1997, 1375, -1966
351, 1997, -759
-1998, 1997, 1753
-1998, 1997, 1998
-1998, 1997, 1998
-1998, 1720, 1998
-,-,-
-17, -73, -259
-17, -73, -259
992, 431, -394
1997, 762, -716
1997, -592, -1547
1997, -1821, -1997
1997, -430, -1997
1539, 1954, -1706
-1803, 1997, -138
-1998, 1997, 1990
-,-,-
1969, 17, -1422
1969, 17, -1422
1997, -209, -1941
1997, -792, -1997
1997, 188, -1996
1997, 1951, -1749
-5, 1997, -276
-1998, 1997, 1691
-1998, 1997, 1776
-1998, 1997, 1563
-,-,-
1869, 710, -963
1997, -301, -1576
1997, -1244, -1997
1997, 214, -1997
1739, 1993, -1905
-1687, 1997, -383
-1998, 1997, 1837
-1998, 1997, 1985
-,-,-
1409, 344, -646
1997, 218, -1118
1997, -833, -1967
1997, -907, -1997
1997, 1287, -1997
918, 1997, -1581
-1968, 1997, 310
-1998, 1997, 1977
-1998, 1997, 1918
-1998, 1975, 1689
-,-,-
1997, -48, -1697
1997, -48, -1697
1997, -1240, -1997
1997, -914, -1997
-1125, 1700, -1279
-1998, 1997, 1353
-1998, 1997, 1979
-1998, 1997, 1998
-1998, 1905, 1998
-1998, 1272, 1998
-,-,-
723, 192, -356
723, 192, -356
1762, 189, -429
1997, -565, -941
1997, -1523, -1939
1997, -791, -1997
1448, 1689, -1880
-1680, 1997, -796
-1998, 1997, 917
-1998, 1997, 1821
-,-,-
-99, -212, -378
855, -114, -716
1981, 26, -1068
1997, -66, -1673
1997, -222, -1997
1997, 443, -1997
1572, 1868, -1971
-1161, 1997, -479
-1998, 1997, 1190
-1998, 1997, 1521
-1998, 1997, 1852
-,-,-
907, 205, -549
907, 205, -549
1989, -62, -863
1997, -1055, -1847
1997, -1408, -1997
1997, 581, -1997
-226, 1997, -1534
-1998, 1997, 1005
-1998, 1997, 1998
-1998, 1977, 1998
-,-,-
628, 76, -266
1496, 714, -465
1997, -8, -921
1997, -762, -1867
1997, -988, -1997
1997, 1001, -1841
-17, 1997, -1153
-1998, 1997, 442
-1998, 1997, 1587
-1998, 1997, 1998
-1998, 1861, 1969
-,-,-
1892, 301, -1265
1997, 7, -1927
1997, -724, -1997
1997, 1151, -1997
1774, 1997, -1754
-1744, 1997, -473
-1998, 1997, 1992
-1998, 1997, 1998
-1998, 1980, 1998
-1998, 902, 1805
-,-,-
1393, 401, -772
1997, 322, -1213
1997, -1105, -1818
1997, -1199, -1997
1997, 1685, -1992
1058, 1997, -1068
-1998, 1997, 399
-1998, 1997, 1892
-1998, 1997, 1998
-,-,-
1231, 363, -814
1997, 378, -1310
1997, -1068, -1938
1997, -1636, -1997
1997, 1010, -1997
584, 1997, -1941
-1998, 1997, -212
-1998, 1997, 1829
-1998, 1997, 1998
-,-,-
1741, -59, -1129
1997, -299, -1870
1997, -1319, -1997
1997, 441, -1997
1997, 1997, -1934
-766, 1997, -905
-1998, 1997, 697
-1998, 1997, 1579
-1998, 1997, 1987
-,-,-
1361, 481, -741
1997, 506, -990
1997, -395, -1617
1997, -902, -1997
1997, 601, -1997
1683, 1995, -1997
-1684, 1997, -1074
-1998, 1997, 1801
-1998, 1997, 1998
-1998, 1963, 1998
-,-,-
1846, 82, -1021
1997, -122, -1500
1997, -984, -1997
1997, 1003, -1997
1567, 1997, -1997
-1812, 1997, -1835
-1998, 1997, 501
-1998, 1997, 1598
-1998, 1997, 1998
-,-,-
1254, -104, -651
1978, -169, -1440
1997, -629, -1995
1997, -363, -1997
1997, 1716, -1796
598, 1997, -1403
-1998, 1997, 118
-1998, 1997, 989
-1998, 1997, 1261
-1998, 1433, 1406
-,-,-
1941, -206, -1700
1997, -560, -1997
1997, -565, -1997
1997, 1557, -1997
1927, 1997, -1996
-1155, 1997, -1090
-1998, 1997, 318
-1998, 1997, 1546
-1998, 1997, 1998
-,-,-
428, 218, -224
1480, 283, -1069
1997, -387, -1856
1997, -1454, -1997
1997, -716, -1997
1997, 1661, -1997
333, 1997, -1737
-1998, 1997, 671
-1998, 1997, 1596
-1998, 1997, 1351
-,-,-
1087, 498, -789
1996, 351, -1484
1997, -1089, -1996
1997, -1740, -1997
1997, 1089, -1997
1367, 1997, -1997
-1883, 1997, -553
-1998, 1997, 1988
-1998, 1997, 1998
-,-,-
1919, 311, -1001
1997, -223, -1824
1997, -1141, -1997
1997, 475, -1997
1997, 1997, -1997
-609, 1997, -1321
-1998, 1997, 1482
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
1997, 272, -1199
1997, -196, -1926
1997, -549, -1997
1997, 1624, -1997
1997, 1997, -1982
-470, 1997, -679
-1998, 1997, 1170
-1998, 1997, 925
-1998, 1997, 1146
-1998, 1435, 1682
-,-,-
1640, 1441, -1195
1997, 1542, -917
1997, 382, -1327
1997, 342, -1997
1997, 1267, -1996
-100, 1997, -1030
-1998, 1997, 1496
-1998, 1997, 1998
-1998, 1997, 1998
-,-,-
-538, 81, 131
606, 769, -460
1946, 1042, -643
1997, 513, -967
1997, 1181, -1109
1997, 1983, -1062
74, 1997, -778
-1998, 1997, -345
-1998, 1997, 244
-1998, 1997, 1774
-,-,-
1942, 940, -1268
1942, 940, -1268
1997, 575, -1077
1997, 526, -921
1997, 1840, -1417
232, 1997, -1377
-1998, 1997, -337
